State,annavgSO2,res,annavgNO2,NO2 Std. Dev.,PM10 Annual average (µg/m3),PM10 Std. Dev.,ST_NAME
Andhra Pradesh,7,3,19,5,77,28,AP
Assam,6,1,14,2,74,42,AS
Bihar,5,3,47,28,174,104,BR
Chandigarh,2,0,16,9,102,50,CH
Chattisgarh,12,1,27,2,173,18,CG
Delhi,5,2,57,16,222,116,DL
Goa,10,5,18,5,100,45,GA
Gujarat,15,3,25,5,88,17,GJ
Haryana,13,5,25,9,146,50,HR
Himachal Pradesh,3,2,12,6,88,45,HP
Jammu & Kashmir,5,2,12,3,107,23,JK
Jharkhand,23,6,39,9,197,51,JH
Karnataka,11,4,21,6,71,35,KA
Kerala,4,1,14,3,42,14,KL
Madhya Pradesh,12,4,18,5,135,53,MP
Maharashtra,18,7,33,11,111,50,MH
Manipur,NA,NA,NA,NA,NA,NA,MN
Meghalaya,17,10,10,4,89,18,MG
Mizoram,2,0,5,0,57,8,MZ
Nagaland,2,0,6,2,82,37,NL
Orissa,4,1,19,5,96,28,OD
Punjab,10,2,26,5,156,33,PB
Puducherry,7,1,16,1,42,10,PY
Rajasthan,7,6,31,39,165,185,RJ
Sikkim,NA,NA,NA,NA,NA,NA,SK
Tamilnadu,10,5,22,11,77,37,TN
Uttar Pradesh,13,2,30,8,163,39,UP
Uttarakhand,21,2,24,2,158,57,UK
West Bengal,11,5,57,17,127,78,WB
